Name,Drawer,Type,Size,Length,Finish,McMaster #
4-40 1in Button Head Screw ,1,Button Head Screw,4-40,1in,Stainless Steel,92949A116
4-40 3/4in Button Head Screw ,1,Button Head Screw,4-40,3/4in,Stainless Steel,92949A113
4-40 5/8in Button Head Screw ,1,Button Head Screw,4-40,5/8in,Stainless Steel,92949A112
4-40 1/2in Button Head Screw ,1,Button Head Screw,4-40,1/2in,Stainless Steel,92949A110
4-40 3/8in Button Head Screw ,1,Button Head Screw,4-40,3/8in,Stainless Steel,92949A108
4-40 1/4in Button Head Screw ,1,Button Head Screw,4-40,1/4in,Stainless Steel,92949A106
4-40 1in Socket Head Screw ,1,Socket Head Screw,4-40,1in,Stainless Steel,92196A031
4-40 3/4in Socket Head Screw ,1,Socket Head Screw,4-40,3/4in,Stainless Steel,92196A113
4-40 5/8in Socket Head Screw ,1,Socket Head Screw,4-40,5/8in,Stainless Steel,92196A112
4-40 1/2in Socket Head Screw ,1,Socket Head Screw,4-40,1/2in,Stainless Steel,92196A110
4-40 3/8in Socket Head Screw ,1,Socket Head Screw,4-40,3/8in,Stainless Steel,92196A108
4-40 1/4in Socket Head Screw ,1,Socket Head Screw,4-40,1/4in,Stainless Steel,92196A106
6-32 1in Button Head Screw ,1,Button Head Screw,6-32,1in,Stainless Steel,92949A153
6-32 3/4in Button Head Screw ,1,Button Head Screw,6-32,3/4in,Stainless Steel,92949A151
6-32 5/8in Button Head Screw ,1,Button Head Screw,6-32,5/8in,Stainless Steel,92949A150
6-32 1/2in Button Head Screw ,1,Button Head Screw,6-32,1/2in,Stainless Steel,92949A148
6-32 3/8in Button Head Screw ,1,Button Head Screw,6-32,3/8in,Stainless Steel,92949A146
6-32 1/4in Button Head Screw ,1,Button Head Screw,6-32,1/4in,Stainless Steel,92949A144
6-32 1in Socket Head Screw ,1,Socket Head Screw,6-32,1in,Stainless Steel,92196A165
6-32 3/4in Socket Head Screw ,1,Socket Head Screw,6-32,3/4in,Stainless Steel,92196A151
6-32 5/8in Socket Head Screw ,1,Socket Head Screw,6-32,5/8in,Stainless Steel,92196A150
6-32 1/2in Socket Head Screw ,1,Socket Head Screw,6-32,1/2in,Stainless Steel,92196A148
6-32 3/8in Socket Head Screw ,1,Socket Head Screw,6-32,3/8in,Stainless Steel,92196A146
6-32 1/4in Socket Head Screw ,1,Socket Head Screw,6-32,1/4in,Stainless Steel,92196A144
8-32 1in Button Head Screw ,1,Button Head Screw,8-32,1in,Stainless Steel,92949A199
8-32 3/4in Button Head Screw ,1,Button Head Screw,8-32,3/4in,Stainless Steel,92949A197
8-32 5/8in Button Head Screw ,1,Button Head Screw,8-32,5/8in,Stainless Steel,92949A196
8-32 1/2in Button Head Screw ,1,Button Head Screw,8-32,1/2in,Stainless Steel,92949A194
8-32 3/8in Button Head Screw ,1,Button Head Screw,8-32,3/8in,Stainless Steel,92949A192
8-32 1/4in Button Head Screw ,1,Button Head Screw,8-32,1/4in,Stainless Steel,92949A190
8-32 1in Socket Head Screw ,1,Socket Head Screw,8-32,1in,Stainless Steel,92196A199
8-32 3/4in Socket Head Screw ,1,Socket Head Screw,8-32,3/4in,Stainless Steel,92196A197
8-32 5/8in Socket Head Screw ,1,Socket Head Screw,8-32,5/8in,Stainless Steel,92196A196
8-32 1/2in Socket Head Screw ,1,Socket Head Screw,8-32,1/2in,Stainless Steel,92196A194
8-32 3/8in Socket Head Screw ,1,Socket Head Screw,8-32,3/8in,Stainless Steel,92196A192
8-32 1/4in Socket Head Screw ,1,Socket Head Screw,8-32,1/4in,Stainless Steel,92196A190
10-24 1in Button Head Screw ,1,Button Head Screw,10-24,1in,Stainless Steel,92949A247
10-24 3/4in Button Head Screw ,1,Button Head Screw,10-24,3/4in,Stainless Steel,92949A245
10-24 5/8in Button Head Screw ,1,Button Head Screw,10-24,5/8in,Stainless Steel,92949A244
10-24 1/2in Button Head Screw ,1,Button Head Screw,10-24,1/2in,Stainless Steel,92949A242
10-24 3/8in Button Head Screw ,1,Button Head Screw,10-24,3/8in,Stainless Steel,92949A240
10-24 1/4in Button Head Screw ,1,Button Head Screw,10-24,1/4in,Stainless Steel,92949A238
10-24 1in Socket Head Screw ,1,Socket Head Screw,10-24,1in,Stainless Steel,92196A247
10-24 3/4in Socket Head Screw ,1,Socket Head Screw,10-24,3/4in,Stainless Steel,92196A245
10-24 5/8in Socket Head Screw ,1,Socket Head Screw,10-24,5/8in,Stainless Steel,92196A244
10-24 1/2in Socket Head Screw ,1,Socket Head Screw,10-24,1/2in,Stainless Steel,92196A242
10-24 3/8in Socket Head Screw ,1,Socket Head Screw,10-24,3/8in,Stainless Steel,92196A240
10-24 1/4in Socket Head Screw ,1,Socket Head Screw,10-24,1/4in,Stainless Steel,92196A309
4-40  Hex Nut ,1,Hex Nut,4-40,,,90480A005
4-40  Nylon Hex Locknut ,1,Nylon Hex Locknut,4-40,,,91831A005
6-32  Hex Nut ,1,Hex Nut,6-32,,,90480A007
6-32  Nylon Hex Locknut ,1,Nylon Hex Locknut,6-32,,,91831A007
8-32  Hex Nut ,1,Hex Nut,8-32,,,90480A009
8-32  Nylon Hex Locknut ,1,Nylon Hex Locknut,8-32,,,91831A009
10-24  Hex Nut ,1,Hex Nut,10-24,,,90480A011
10-24  Nylon Hex Locknut ,1,Nylon Hex Locknut,10-24,,,91831A011
#2  Washer ,1,Washer,#2,,,90107A003
#4  Washer ,1,Washer,#4,,,90107A005
#6  Washer ,1,Washer,#6,,,90107A007
#8  Washer ,1,Washer,#8,,,90107A010
10-32 1in Button Head Screw ,2,Button Head Screw,10-32,1in,Stainless Steel,92949A271
10-32 3/4in Button Head Screw ,2,Button Head Screw,10-32,3/4in,Stainless Steel,92949A269
10-32 5/8in Button Head Screw ,2,Button Head Screw,10-32,5/8in,Stainless Steel,92949A267
10-32 1/2in Button Head Screw ,2,Button Head Screw,10-32,1/2in,Stainless Steel,92949A265
10-32 3/8in Button Head Screw ,2,Button Head Screw,10-32,3/8in,Stainless Steel,92949A263
10-32 1/4in Button Head Screw ,2,Button Head Screw,10-32,1/4in,Stainless Steel,92949A261
10-32 1in Socket Head Screw ,2,Socket Head Screw,10-32,1in,Stainless Steel,92196A274
10-32 3/4in Socket Head Screw ,2,Socket Head Screw,10-32,3/4in,Stainless Steel,92196A272
10-32 5/8in Socket Head Screw ,2,Socket Head Screw,10-32,5/8in,Stainless Steel,92196A271
10-32 1/2in Socket Head Screw ,2,Socket Head Screw,10-32,1/2in,Stainless Steel,92196A269
10-32 3/8in Socket Head Screw ,2,Socket Head Screw,10-32,3/8in,Stainless Steel,92196A267
10-32 1/4in Socket Head Screw ,2,Socket Head Screw,10-32,1/4in,Stainless Steel,92196A265
1/4-20 1-1/2in Button Head Screw ,2,Button Head Screw,1/4-20,1-1/2in,Stainless Steel,92949A546
1/4-20 1-1/4in Button Head Screw ,2,Button Head Screw,1/4-20,1-1/4in,Stainless Steel,92949A544
1/4-20 1in Button Head Screw ,2,Button Head Screw,1/4-20,1in,Stainless Steel,92949A542
1/4-20 3/4in Button Head Screw ,2,Button Head Screw,1/4-20,3/4in,Stainless Steel,92949A540
1/4-20 1/2in Button Head Screw ,2,Button Head Screw,1/4-20,1/2in,Stainless Steel,92949A537
1/4-20 3/8in Button Head Screw ,2,Button Head Screw,1/4-20,3/8in,Stainless Steel,92949A535
1/4-20 1-1/2in Socket Head Screw ,2,Socket Head Screw,1/4-20,1-1/2in,Stainless Steel,92196A706
1/4-20 1-1/4in Socket Head Screw ,2,Socket Head Screw,1/4-20,1-1/4in,Stainless Steel,92196A544
1/4-20 1in Socket Head Screw ,2,Socket Head Screw,1/4-20,1in,Stainless Steel,92196A542
1/4-20 3/4in Socket Head Screw ,2,Socket Head Screw,1/4-20,3/4in,Stainless Steel,92196A540
1/4-20 1/2in Socket Head Screw ,2,Socket Head Screw,1/4-20,1/2in,Stainless Steel,92196A537
1/4-20 3/8in Socket Head Screw ,2,Socket Head Screw,1/4-20,3/8in,Stainless Steel,92196A535
1/4-20 1-1/2in Hex Head Screw ,2,Hex Head Screw,1/4-20,1-1/2in,Stainless Steel,92240A546
1/4-20 1-1/4in Hex Head Screw ,2,Hex Head Screw,1/4-20,1-1/4in,Stainless Steel,92240A544
1/4-20 1in Hex Head Screw ,2,Hex Head Screw,1/4-20,1in,Stainless Steel,92240A542
1/4-20 3/4in Hex Head Screw ,2,Hex Head Screw,1/4-20,3/4in,Stainless Steel,92240A540
1/4-20 1/2in Hex Head Screw ,2,Hex Head Screw,1/4-20,1/2in,Stainless Steel,92240A537
1/4-20 3/8in Hex Head Screw ,2,Hex Head Screw,1/4-20,3/8in,Stainless Steel,92240A535
1/4-20 1-1/2in Countersunk Head Screw ,2,Countersunk Head Screw,1/4-20,1-1/2in,Stainless Steel,92210A546
